fold_id,model,fold_start,fold_end,run_id,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
20,forced_vector_damped_lagrangian,20,40,20260613_215335,0.18500147841513898,0.18347868217054264,0.7642783700647946,0.18005152039684602,0.3160377358490566,1.282371997833252,2011-11-01,2012-11-02,2013-11-01
21,forced_vector_damped_lagrangian,20,40,20260613_215335,0.28178418803418803,0.26467639503353785,0.7149318010218338,0.09593576822482365,0.2358490566037736,1.2550708055496216,2012-02-02,2013-02-05,2014-02-04
22,forced_vector_damped_lagrangian,20,40,20260613_215335,0.3721924548328526,0.3674136321195145,0.6393834602501987,0.04507779291538006,0.18867924528301888,1.185730218887329,2012-05-03,2013-05-07,2014-05-06
23,forced_vector_damped_lagrangian,20,40,20260613_215335,0.37082162228796844,0.37148133578109976,0.6269421942857732,0.08838929634698679,0.19811320754716982,1.0875954627990723,2012-08-02,2013-08-06,2014-08-05
24,forced_vector_damped_lagrangian,20,40,20260613_215335,0.42903079710144926,0.4699036151157711,0.6105606317282525,0.07188123352650744,0.2169811320754717,1.082352876663208,2012-11-02,2013-11-04,2014-11-03
25,forced_vector_damped_lagrangian,20,40,20260613_215335,0.3161309838525028,0.35317072096990965,0.7413370891256176,0.1526105755091833,0.2783018867924528,1.2683721780776978,2013-02-05,2014-02-05,2015-02-04
26,forced_vector_damped_lagrangian,20,40,20260613_215335,0.31899807981053946,0.3431679441383935,0.755196055725084,0.1451552969189317,0.30660377358490565,1.2808054685592651,2013-05-07,2014-05-07,2015-05-06
27,forced_vector_damped_lagrangian,20,40,20260613_215335,0.41187261475089837,0.4214679796075145,0.7170237507187844,0.15270609209235286,0.3632075471698113,1.2994616031646729,2013-08-06,2014-08-06,2015-08-05
28,forced_vector_damped_lagrangian,20,40,20260613_215335,0.34269712307787403,0.36823793490460155,0.7311846188758835,0.11156760415001096,0.4056603773584906,1.2873761653900146,2013-11-04,2014-11-04,2015-11-03
29,forced_vector_damped_lagrangian,20,40,20260613_215335,0.3718283063636947,0.38023226616446953,0.6392762819605983,0.053306335294750366,0.28773584905660377,1.158791184425354,2014-02-05,2015-02-05,2016-02-04
30,forced_vector_damped_lagrangian,20,40,20260613_215335,0.23214238240593907,0.26468577505443863,0.7182710850797133,0.12583252521747715,0.37735849056603776,1.2657442092895508,2014-05-07,2015-05-07,2016-05-05
31,forced_vector_damped_lagrangian,20,40,20260613_215335,0.30897691654773896,0.3273556928727417,0.7226885878790997,0.11062836479133284,0.33962264150943394,1.2782890796661377,2014-08-06,2015-08-06,2016-08-04
32,forced_vector_damped_lagrangian,20,40,20260613_215335,0.2948885956431228,0.30220298665257034,0.7186962800449963,0.09630870119506765,0.3018867924528302,1.2702330350875854,2014-11-04,2015-11-04,2016-11-02
33,forced_vector_damped_lagrangian,20,40,20260613_215335,0.23153225806451613,0.23229166666666667,0.6859264167143272,0.08669684568481266,0.25943396226415094,1.2496858835220337,2015-02-05,2016-02-05,2017-02-03
34,forced_vector_damped_lagrangian,20,40,20260613_215335,0.3289602304882441,0.37078043315907394,0.6227898345579562,0.12016174882790291,0.16037735849056603,1.185829758644104,2015-05-07,2016-05-06,2017-05-05
35,forced_vector_damped_lagrangian,20,40,20260613_215335,0.2241976980365606,0.21128254580520733,0.6884245707452462,0.04865397254066287,0.25,1.2862340211868286,2015-08-06,2016-08-05,2017-08-04
36,forced_vector_damped_lagrangian,20,40,20260613_215335,0.18747104068204987,0.25102586975914365,0.5754280687715594,0.036482234655971245,0.02830188679245283,1.1204733848571777,2015-11-04,2016-11-03,2017-11-02
37,forced_vector_damped_lagrangian,20,40,20260613_215335,0.18466666666666667,0.2271481612446959,0.6000360032703155,0.07284718695940547,0.1179245283018868,1.1677769422531128,2016-02-05,2017-02-06,2018-02-05
38,forced_vector_damped_lagrangian,20,40,20260613_215335,0.3896367400444094,0.4474789915966386,0.6365479722562888,0.12301475229397626,0.18396226415094338,1.174379587173462,2016-05-06,2017-05-08,2018-05-07
39,forced_vector_damped_lagrangian,20,40,20260613_215335,0.4180092265458119,0.43675925640613034,0.6478210842722482,0.12587970831024814,0.21226415094339623,1.1954107284545898,2016-08-05,2017-08-07,2018-08-06
40,forced_vector_damped_lagrangian,20,40,20260613_215335,0.4746704021094265,0.49532490079365077,0.5989147752631581,0.0467076521244407,0.2028301886792453,1.1949958801269531,2016-11-03,2017-11-03,2018-11-02
