model,fold_id,macro_f1,balanced_accuracy,brier_score,ece
model_selector_rolling_calibrated,0,0.06153846153846154,0.0547945205479452,1.0563092581133378,0.3432619659833505
model_selector_rolling_calibrated,1,0.2038126041360384,0.20252113526570048,0.8122997013877152,0.1677078516550467
model_selector_rolling_calibrated,2,0.25778011942395507,0.2672794117647059,0.6466972710259751,0.13205823903912112
model_selector_rolling_calibrated,3,0.26060232816500023,0.24874338624338627,0.6166222646807631,0.098625940196391
model_selector_rolling_calibrated,4,0.22122892635314995,0.22248677248677248,0.5937270342480896,0.1448471775636986
model_selector_rolling_calibrated,5,0.2948742889144339,0.3832908163265306,0.6368308273519925,0.13886982608289228
model_selector_rolling_calibrated,6,0.4343266769073221,0.4314167873908535,0.5932207042166602,0.08500981834572806
model_selector_rolling_calibrated,7,0.43624540234447357,0.42081377151799687,0.564274946711642,0.059544287377120184
model_selector_rolling_calibrated,8,0.33543706496826053,0.4335139498182976,0.6949965018820993,0.21712926198059404
model_selector_rolling_calibrated,9,0.4026096589997257,0.48826043085380944,0.7167490663171745,0.2083605597836311
model_selector_rolling_calibrated,10,0.40233815028808145,0.408443364508833,0.7873727518765175,0.28191488757379735
model_selector_rolling_calibrated,11,0.39365056702292567,0.403001341381623,0.7386370559088907,0.25015748050850883
model_selector_rolling_calibrated,12,0.45560528782040577,0.4721641247515751,0.6729932631006447,0.26053563138129004
model_selector_rolling_calibrated,13,0.3398437740152591,0.44852917617846133,0.7398316322415519,0.2684843165214073
model_selector_rolling_calibrated,14,0.40306787277671935,0.40551093643198904,0.6845198126024544,0.1811505077590405
model_selector_rolling_calibrated,15,0.2545056687498548,0.31206140350877193,0.7029074765897918,0.2043162939694006
model_selector_rolling_calibrated,16,0.3040563610405335,0.3445225622644978,0.7373739693391618,0.14434021039747855
model_selector_rolling_calibrated,17,0.41384203420244264,0.4639327640638156,0.6152766089405137,0.09009315878012933
model_selector_rolling_calibrated,18,0.5158441868231477,0.525280315614618,0.5697403812867649,0.15655355806082066
model_selector_rolling_calibrated,19,0.5347136470087289,0.59883658008658,0.5359446804847207,0.09848854071657423
model_selector_rolling_calibrated,20,0.4200188226611057,0.4486434108527132,0.625694275927803,0.14734480694426053
model_selector_rolling_calibrated,21,0.31113575453892506,0.31685724989296415,0.6679747857269638,0.22888604324188594
model_selector_rolling_calibrated,22,0.4340324033545211,0.4517394428220461,0.5770562964240108,0.07502613856758868
