fold_id,model,fold_start,fold_end,run_id,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
0,lagrangian_conv1d,0,70,20260614_201145,0.24254484304932733,0.27898727984344424,0.6383395097864702,0.17211100277206706,0.12264150943396226,0.9851185083389282,2006-10-31,2007-11-01,2008-10-30
1,lagrangian_conv1d,0,70,20260614_201145,0.1922145204230926,0.2628321256038647,0.6665077869962629,0.21720472425921983,0.12735849056603774,0.9692054986953735,2007-02-02,2008-02-04,2009-02-02
2,lagrangian_conv1d,0,70,20260614_201145,0.2521224480748343,0.2721966911764706,0.544963678143551,0.05318836077278208,0.10849056603773585,1.0290919542312622,2007-05-04,2008-05-05,2009-05-04
3,lagrangian_conv1d,0,70,20260614_201145,0.21893627954779032,0.2439814814814815,0.5512189473225095,0.04047952543401942,0.07075471698113207,1.0556244850158691,2007-08-03,2008-08-04,2009-08-03
4,lagrangian_conv1d,0,70,20260614_201145,0.2265564271076249,0.24596560846560847,0.5768449329953919,0.11932246184125192,0.1509433962264151,0.899406909942627,2007-11-01,2008-10-31,2009-10-30
5,lagrangian_conv1d,0,70,20260614_201145,0.2806045306045306,0.3705357142857143,0.6613982910981494,0.19811118446605305,0.1509433962264151,0.9094663262367249,2008-02-04,2009-02-03,2010-02-02
6,lagrangian_conv1d,0,70,20260614_201145,0.4630521097580507,0.4728924723521821,0.5916042831562048,0.08330792762304136,0.2641509433962264,0.967924952507019,2008-05-05,2009-05-05,2010-05-04
7,lagrangian_conv1d,0,70,20260614_201145,0.43624540234447357,0.42081377151799687,0.564274946711642,0.059544287377120184,0.15566037735849056,0.9672062993049622,2008-08-04,2009-08-04,2010-08-03
8,lagrangian_conv1d,0,70,20260614_201145,0.33543706496826053,0.4335139498182976,0.6949965018820993,0.21712926198059404,0.18396226415094338,0.8148162364959717,2008-10-31,2009-11-02,2010-11-01
9,lagrangian_conv1d,0,70,20260614_201145,0.4026096589997257,0.48826043085380944,0.7167490663171745,0.2083605597836311,0.1509433962264151,0.7816562056541443,2009-02-03,2010-02-03,2011-02-01
10,lagrangian_conv1d,0,70,20260614_201145,0.40233815028808145,0.408443364508833,0.7873727518765175,0.28191488757379735,0.2028301886792453,0.7262930274009705,2009-05-05,2010-05-05,2011-05-03
11,lagrangian_conv1d,0,70,20260614_201145,0.3782396019744583,0.43620053655264923,0.7157695800240744,0.2387828590444556,0.1650943396226415,0.8857857584953308,2009-08-04,2010-08-04,2011-08-02
12,lagrangian_conv1d,0,70,20260614_201145,0.34443672839506173,0.4378479018309527,0.6270888351106204,0.15974868533197142,0.05188679245283019,0.8892233371734619,2009-11-02,2010-11-02,2011-10-31
13,lagrangian_conv1d,0,70,20260614_201145,0.40246729590991887,0.3991739757299051,0.5738436496503038,0.04522537429567792,0.15566037735849056,1.063977599143982,2010-02-03,2011-02-02,2012-02-01
14,lagrangian_conv1d,0,70,20260614_201145,0.412686963098423,0.3960440874914559,0.581744850644462,0.058470889296330195,0.19811320754716982,1.0878756046295166,2010-05-05,2011-05-04,2012-05-02
15,lagrangian_conv1d,0,70,20260614_201145,0.2534453980534347,0.2862625313283208,0.6833996561406096,0.10046144130644105,0.10377358490566038,1.0644224882125854,2010-08-04,2011-08-03,2012-08-01
16,lagrangian_conv1d,0,70,20260614_201145,0.3040563610405335,0.3445225622644978,0.7373739693391618,0.14434021039747855,0.15566037735849056,1.1219910383224487,2010-11-02,2011-11-01,2012-11-01
17,lagrangian_conv1d,0,70,20260614_201145,0.41384203420244264,0.4639327640638156,0.6152766089405137,0.09009315878012933,0.19811320754716982,0.9706761240959167,2011-02-02,2012-02-02,2013-02-04
18,lagrangian_conv1d,0,70,20260614_201145,0.3504708794251523,0.4366458396254908,0.5822043776492484,0.09438686919324274,0.18396226415094338,1.0207574367523193,2011-05-04,2012-05-03,2013-05-06
19,lagrangian_conv1d,0,70,20260614_201145,0.3080106562735223,0.32928391053391054,0.6203467651768397,0.12151724897639853,0.14150943396226415,1.1155779361724854,2011-08-03,2012-08-02,2013-08-05
20,lagrangian_conv1d,0,70,20260614_201145,0.39788311198252246,0.433640180878553,0.6726366751307382,0.12667472205811264,0.20754716981132076,1.0235902070999146,2011-11-01,2012-11-02,2013-11-01
21,lagrangian_conv1d,0,70,20260614_201145,0.2883904560671752,0.3323274939346368,0.8656459577910997,0.3679145345105812,0.1792452830188679,0.7396191954612732,2012-02-02,2013-02-05,2014-02-04
22,lagrangian_conv1d,0,70,20260614_201145,0.37984962851295134,0.42754997980279585,0.6258473367460982,0.14710360177805726,0.18396226415094338,0.9319281578063965,2012-05-03,2013-05-07,2014-05-06
23,lagrangian_conv1d,0,70,20260614_201145,0.40348041895211706,0.4047069832868417,0.6137119682466244,0.08042119464404143,0.14622641509433962,0.9390866756439209,2012-08-02,2013-08-06,2014-08-05
24,lagrangian_conv1d,0,70,20260614_201145,0.4341645114591975,0.42641437308868496,0.5664773974837702,0.05277014716130468,0.15566037735849056,0.868560791015625,2012-11-02,2013-11-04,2014-11-03
25,lagrangian_conv1d,0,70,20260614_201145,0.4166997080595899,0.4411160007508892,0.6571863122348814,0.17287710113144816,0.1650943396226415,0.8133267164230347,2013-02-05,2014-02-05,2015-02-04
26,lagrangian_conv1d,0,70,20260614_201145,0.39196636344404484,0.40834133954871843,0.661140045121573,0.16181631449242712,0.14150943396226415,0.8468478918075562,2013-05-07,2014-05-07,2015-05-06
27,lagrangian_conv1d,0,70,20260614_201145,0.2909186259167051,0.30956974416276745,0.708129059347203,0.25408637999368944,0.22641509433962265,0.9035282135009766,2013-08-06,2014-08-06,2015-08-05
28,lagrangian_conv1d,0,70,20260614_201145,0.42708279284312534,0.44836159211159216,0.6122717605349566,0.10009430691669803,0.17452830188679244,0.8387660384178162,2013-11-04,2014-11-04,2015-11-03
29,lagrangian_conv1d,0,70,20260614_201145,0.3846877164952218,0.46915254237288134,0.7556194363582577,0.278374003132744,0.12735849056603774,0.7015038728713989,2014-02-05,2015-02-05,2016-02-04
30,lagrangian_conv1d,0,70,20260614_201145,0.43516837674802056,0.44948969041710973,0.6081780099182902,0.05884420731817609,0.1509433962264151,0.9578130841255188,2014-05-07,2015-05-07,2016-05-05
31,lagrangian_conv1d,0,70,20260614_201145,0.3659090909090909,0.42507631030375226,0.6343530142380531,0.07591399970188947,0.12735849056603774,0.9828975200653076,2014-08-06,2015-08-06,2016-08-04
32,lagrangian_conv1d,0,70,20260614_201145,0.36386044103334547,0.4527692612660235,0.616819249969128,0.13489255854781246,0.09433962264150944,0.8469141125679016,2014-11-04,2015-11-04,2016-11-02
33,lagrangian_conv1d,0,70,20260614_201145,0.34052577082374597,0.4428503787878788,0.6111110174597976,0.12036359785867971,0.05660377358490566,0.9733107089996338,2015-02-05,2016-02-05,2017-02-03
34,lagrangian_conv1d,0,70,20260614_201145,0.4091736694677871,0.5405153099327856,0.5579711352452338,0.1603318248556253,0.1320754716981132,0.9446088671684265,2015-05-07,2016-05-06,2017-05-05
35,lagrangian_conv1d,0,70,20260614_201145,0.3047555844936392,0.30643683702989394,0.488573119567374,0.07398527888624881,0.13679245283018868,0.7308134436607361,2015-08-06,2016-08-05,2017-08-04
36,lagrangian_conv1d,0,70,20260614_201145,0.21614697891059645,0.2402319357716325,0.530882785959938,0.13070083336091376,0.07547169811320754,0.7356525659561157,2015-11-04,2016-11-03,2017-11-02
37,lagrangian_conv1d,0,70,20260614_201145,0.2213143428285857,0.23899398868458277,0.6223129361456626,0.2229505503121676,0.1320754716981132,0.6400782465934753,2016-02-05,2017-02-06,2018-02-05
38,lagrangian_conv1d,0,70,20260614_201145,0.4939500293835061,0.5586873638344226,0.6343850612748007,0.1960435280217811,0.11320754716981132,0.6184414625167847,2016-05-06,2017-05-08,2018-05-07
39,lagrangian_conv1d,0,70,20260614_201145,0.3948830938584015,0.5084050324629008,0.64416409849595,0.2401838049362523,0.08962264150943396,0.6801110506057739,2016-08-05,2017-08-07,2018-08-06
40,lagrangian_conv1d,0,70,20260614_201145,0.4330163378736793,0.48736359126984125,0.5532432507159577,0.12248482390748504,0.22169811320754718,0.8307627439498901,2016-11-03,2017-11-03,2018-11-02
41,lagrangian_conv1d,0,70,20260614_201145,0.4060592277832508,0.4859546769527483,0.5529910599127824,0.11668289463284988,0.14150943396226415,0.8000717759132385,2017-02-06,2018-02-06,2019-02-06
42,lagrangian_conv1d,0,70,20260614_201145,0.4549002928579893,0.5383106359163304,0.6068333445422301,0.17360408065464578,0.0660377358490566,0.7102664113044739,2017-05-08,2018-05-08,2019-05-08
43,lagrangian_conv1d,0,70,20260614_201145,0.378101817860854,0.49369747899159666,0.6348578093977185,0.21140895119295433,0.08018867924528301,0.7243909239768982,2017-08-07,2018-08-07,2019-08-07
44,lagrangian_conv1d,0,70,20260614_201145,0.4894179894179894,0.5164427709735555,0.6375456621329302,0.1458519157109686,0.18867924528301888,0.78106689453125,2017-11-03,2018-11-05,2019-11-05
45,lagrangian_conv1d,0,70,20260614_201145,0.36561313175912696,0.4301516486744511,0.6781448021299508,0.23100197651016882,0.12735849056603774,0.8127267360687256,2018-02-06,2019-02-07,2020-02-06
46,lagrangian_conv1d,0,70,20260614_201145,0.44037385106145155,0.4690173031975428,0.6521778031082945,0.22480113125742882,0.18396226415094338,0.7024869918823242,2018-05-08,2019-05-09,2020-05-07
47,lagrangian_conv1d,0,70,20260614_201145,0.3602197896459348,0.5187709230033477,0.5860634147926665,0.16237414890611673,0.21226415094339623,0.8876842856407166,2018-08-07,2019-08-08,2020-08-06
48,lagrangian_conv1d,0,70,20260614_201145,0.43640374379309116,0.46091934114071165,0.5914441214657403,0.11517813200122316,0.1509433962264151,0.7803192138671875,2018-11-05,2019-11-06,2020-11-04
49,lagrangian_conv1d,0,70,20260614_201145,0.3957790060468632,0.3689266713328152,0.6613996197680243,0.1376373426455287,0.20754716981132076,0.8390771746635437,2019-02-07,2020-02-07,2021-02-05
