fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
0,ensemble,0.21225547350693094,0.4538160469667319,0.7526946140271826,0.18801850696124942,0.1509433962264151,1.111966848373413,2006-10-31,2007-11-01,2008-10-30
1,ensemble,0.1532485875706215,0.4251207729468599,0.7662732519947258,0.19287539228027414,0.15566037735849056,1.102675199508667,2007-02-02,2008-02-04,2009-02-02
2,ensemble,0.34370682589860674,0.5345588235294118,0.6466972710259751,0.13205823903912112,0.16981132075471697,1.0939204692840576,2007-05-04,2008-05-05,2009-05-04
3,ensemble,0.347469770886667,0.49748677248677253,0.6166222646807631,0.098625940196391,0.16037735849056603,1.2135634422302246,2007-08-03,2008-08-04,2009-08-03
4,ensemble,0.4424578527062999,0.44497354497354497,0.5937270342480896,0.1448471775636986,0.13679245283018868,1.0689356327056885,2007-11-01,2008-10-31,2009-10-30
5,ensemble,0.2948742889144339,0.3832908163265306,0.6368308273519925,0.13886982608289228,0.13679245283018868,1.0986577272415161,2008-02-04,2009-02-03,2010-02-02
6,ensemble,0.4343266769073221,0.4314167873908535,0.5932207042166602,0.08500981834572806,0.2358490566037736,1.1311181783676147,2008-05-05,2009-05-05,2010-05-04
7,ensemble,0.4678289634410989,0.4490279282532803,0.5388481850547482,0.06060925951586081,0.13679245283018868,1.017554759979248,2008-08-04,2009-08-04,2010-08-03
8,ensemble,0.3166926616770382,0.41344163083293517,0.6674121319255655,0.18557069377160407,0.09905660377358491,0.9053261876106262,2008-10-31,2009-11-02,2010-11-01
9,ensemble,0.31315639771863646,0.4601454007226503,0.7232851459656888,0.251397579768454,0.07075471698113207,0.895687997341156,2009-02-03,2010-02-03,2011-02-01
10,ensemble,0.45460867875375205,0.4864906167858671,0.6973524597622381,0.1422367868289142,0.18396226415094338,0.9247228503227234,2009-05-05,2010-05-05,2011-05-03
11,ensemble,0.4041185518006203,0.4505826626425218,0.693653757406324,0.19710927278223173,0.1320754716981132,0.9369775056838989,2009-08-04,2010-08-04,2011-08-02
12,ensemble,0.3402445810771897,0.4151803632961224,0.5991611947615513,0.10679209288297126,0.08018867924528301,1.0559569597244263,2009-11-02,2010-11-02,2011-10-31
13,ensemble,0.41509567559283955,0.453005727101606,0.5605243905755293,0.09873941750593591,0.1320754716981132,0.9978384375572205,2010-02-03,2011-02-02,2012-02-01
14,ensemble,0.4458078607734289,0.439014012303486,0.5827254778134877,0.032059684045997607,0.09433962264150944,1.116883635520935,2010-05-05,2011-05-04,2012-05-02
15,ensemble,0.31903318245052864,0.3151629072681704,0.656814645180157,0.13580979525763104,0.21226415094339623,1.0892744064331055,2010-08-04,2011-08-03,2012-08-01
16,ensemble,0.389515289544852,0.4448867291609227,0.6378026804910416,0.09867409613210826,0.19339622641509435,1.1110810041427612,2010-11-02,2011-11-01,2012-11-01
