model,fold_id,macro_f1,balanced_accuracy,brier_score,ece
model_selector_calibrated,0,0.06153846153846154,0.0547945205479452,1.0563092581133378,0.3432619659833505
model_selector_calibrated,1,0.2038126041360384,0.20252113526570048,0.8122997013877152,0.1677078516550467
model_selector_calibrated,2,0.25778011942395507,0.2672794117647059,0.6466972710259751,0.13205823903912112
model_selector_calibrated,3,0.26060232816500023,0.24874338624338627,0.6166222646807631,0.098625940196391
model_selector_calibrated,4,0.22122892635314995,0.22248677248677248,0.5937270342480896,0.1448471775636986
model_selector_calibrated,5,0.2948742889144339,0.3832908163265306,0.6368308273519925,0.13886982608289228
model_selector_calibrated,6,0.4343266769073221,0.4314167873908535,0.5932207042166602,0.08500981834572806
model_selector_calibrated,7,0.4678289634410989,0.4490279282532803,0.5388481850547482,0.06060925951586081
model_selector_calibrated,8,0.33543706496826053,0.4335139498182976,0.6949965018820993,0.21712926198059404
model_selector_calibrated,9,0.4026096589997257,0.48826043085380944,0.7167490663171745,0.2083605597836311
model_selector_calibrated,10,0.40233815028808145,0.408443364508833,0.7873727518765175,0.28191488757379735
model_selector_calibrated,11,0.3782396019744583,0.43620053655264923,0.7157695800240744,0.2387828590444556
model_selector_calibrated,12,0.34443672839506173,0.4378479018309527,0.6270888351106204,0.15974868533197142
model_selector_calibrated,13,0.40246729590991887,0.3991739757299051,0.5738436496503038,0.04522537429567792
model_selector_calibrated,14,0.412686963098423,0.3960440874914559,0.581744850644462,0.058470889296330195
model_selector_calibrated,15,0.2534453980534347,0.2862625313283208,0.6833996561406096,0.10046144130644105
model_selector_calibrated,16,0.3040563610405335,0.3445225622644978,0.7373739693391618,0.14434021039747855
model_selector_calibrated,17,0.41384203420244264,0.4639327640638156,0.6152766089405137,0.09009315878012933
model_selector_calibrated,18,0.3504708794251523,0.4366458396254908,0.5822043776492484,0.09438686919324274
model_selector_calibrated,19,0.3080106562735223,0.32928391053391054,0.6203467651768397,0.12151724897639853
model_selector_calibrated,20,0.4200188226611057,0.4486434108527132,0.625694275927803,0.14734480694426053
model_selector_calibrated,21,0.31113575453892506,0.31685724989296415,0.6679747857269638,0.22888604324188594
model_selector_calibrated,22,0.4340324033545211,0.4517394428220461,0.5770562964240108,0.07502613856758868
model_selector_calibrated,23,0.3734038195229518,0.37001009306280747,0.5863401829762112,0.07572710318184796
model_selector_calibrated,24,0.4002410032067778,0.3955398099606815,0.53905589039005,0.055208844338224546
model_selector_calibrated,25,0.375792845672335,0.3931688603595297,0.6160214714290705,0.1747995353360691
model_selector_calibrated,26,0.3771505353960932,0.3984662172938095,0.6092106551271774,0.1467321496894102
model_selector_calibrated,27,0.35615468409586054,0.3876056288846987,0.6433329780317167,0.15927096907521637
model_selector_calibrated,28,0.47278532458958517,0.5059183100849767,0.5601268643838455,0.05716702481950393
model_selector_calibrated,29,0.4054827357579737,0.48530759573132454,0.656036571393711,0.16589840938787506
model_selector_calibrated,30,0.36780323263497333,0.36532500717408556,0.5901358040282879,0.0963278095207304
model_selector_calibrated,31,0.36735970250169037,0.4147216845344451,0.5945887904599264,0.086822724818064
model_selector_calibrated,32,0.3477097547131717,0.39599444958371877,0.5798674478271048,0.1438210789866291
model_selector_calibrated,33,0.27712602712602713,0.3609375,0.5761693100400864,0.11459509881449416
model_selector_calibrated,34,0.29940191387559806,0.3997199402539209,0.557406685824206,0.06870188357684534
model_selector_calibrated,35,0.2518595831005792,0.2704194792671167,0.48488054286964566,0.06876547977398262
model_selector_calibrated,36,0.2125506072874494,0.2524977698483497,0.5385325765722673,0.14619635947993107
model_selector_calibrated,37,0.21193952742203007,0.25044200848656295,0.588797624836581,0.16852676658563215
model_selector_calibrated,38,0.4488287103316974,0.5401493930905695,0.6200864924020116,0.19458797839885583
model_selector_calibrated,39,0.46777357532342567,0.5584402115423901,0.6157998468652703,0.1982554021015973
model_selector_calibrated,40,0.4608901032406199,0.5169766865079366,0.5359408605855432,0.0868196452447506
model_selector_calibrated,41,0.43900739760461854,0.4889183542269367,0.5330592328598291,0.12784817884785468
model_selector_calibrated,42,0.4360580840005619,0.5258189434041461,0.5722453227758886,0.1286412241033545
model_selector_calibrated,43,0.3781499202551834,0.48887931240872423,0.5752392583182978,0.12515490743475904
model_selector_calibrated,44,0.44734037080856254,0.48398465642463545,0.6130142652800153,0.13558088054119705
model_selector_calibrated,45,0.346086860670194,0.4215380284448361,0.66692534531058,0.2668735285600026
