fold_id,model,fold_start,fold_end,run_id,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
0,xgb,0,70,20260614_203144,0.06153846153846154,0.0547945205479452,1.0563092581133378,0.3432619659833505,0.18867924528301888,1.2177455425262451,2006-10-31,2007-11-01,2008-10-30
1,xgb,0,70,20260614_203144,0.0,0.0,1.0917497996572374,0.41908967159163785,0.07547169811320754,1.2362080812454224,2007-02-02,2008-02-04,2009-02-02
2,xgb,0,70,20260614_203144,0.0,0.0,0.9949448440454807,0.4006687279598254,0.05188679245283019,1.2895753383636475,2007-05-04,2008-05-05,2009-05-04
3,xgb,0,70,20260614_203144,0.17922088310580206,0.2281084656084656,0.7246092109738995,0.20434880130727529,0.07547169811320754,1.113804578781128,2007-08-03,2008-08-04,2009-08-03
4,xgb,0,70,20260614_203144,0.22966559982341905,0.22982804232804233,0.620211165865432,0.08805424128899553,0.06132075471698113,1.1583232879638672,2007-11-01,2008-10-31,2009-10-30
5,xgb,0,70,20260614_203144,0.4356656346749226,0.4509637188208616,0.5447903484685719,0.1052985472578398,0.17452830188679244,0.8361661434173584,2008-02-04,2009-02-03,2010-02-02
6,xgb,0,70,20260614_203144,0.5288481196434318,0.5364854220596734,0.557111311707044,0.09057209805143834,0.21226415094339623,1.2063515186309814,2008-05-05,2009-05-05,2010-05-04
7,xgb,0,70,20260614_203144,0.48452227364077294,0.4842391958589142,0.5828230892475847,0.12325359006442935,0.19339622641509435,1.0066566467285156,2008-08-04,2009-08-04,2010-08-03
8,xgb,0,70,20260614_203144,0.547010639299501,0.5321272929968582,0.5555771816400505,0.11102947158992572,0.17452830188679244,1.0196648836135864,2008-10-31,2009-11-02,2010-11-01
9,xgb,0,70,20260614_203144,0.46893887180465765,0.5064817751574967,0.6690369584127884,0.2222715141907544,0.20754716981132076,0.7659791707992554,2009-02-03,2010-02-03,2011-02-01
10,xgb,0,70,20260614_203144,0.4369236427338698,0.4967800599058622,0.7005977317900612,0.2532843110706885,0.13679245283018868,0.7955378890037537,2009-05-05,2010-05-05,2011-05-03
11,xgb,0,70,20260614_203144,0.39365056702292567,0.403001341381623,0.7386370559088907,0.25015748050850883,0.13679245283018868,0.8287529945373535,2009-08-04,2010-08-04,2011-08-02
