fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end,fold_start,fold_end,run_id,ensemble_grid_search
20,ensemble_weighted_grid,0.3712679699979165,0.3738210594315245,0.6388782383253115,0.1832531111341127,0.2216981132075471,0.8948237895965576,2011-11-01,2012-11-02,2013-11-01,20,40,20260613_185430,True
21,ensemble_weighted_grid,0.3914235464514793,0.3914844084486942,0.6238033077787558,0.2039786647183234,0.2452830188679245,0.8259232640266418,2012-02-02,2013-02-05,2014-02-04,20,40,20260613_185430,True
22,ensemble_weighted_grid,0.4340324033545211,0.4517394428220461,0.5770562964240108,0.0750261385675886,0.2264150943396226,0.9668629169464112,2012-05-03,2013-05-07,2014-05-06,20,40,20260613_185430,True
23,ensemble_weighted_grid,0.3734038195229518,0.3700100930628074,0.5863401829762112,0.0757271031818479,0.2169811320754717,0.96429842710495,2012-08-02,2013-08-06,2014-08-05,20,40,20260613_185430,True
24,ensemble_weighted_grid,0.4164835237596431,0.4105436325906509,0.5398278532894706,0.0860485675189416,0.1745283018867924,0.9319453239440918,2012-11-02,2013-11-04,2014-11-03,20,40,20260613_185430,True
25,ensemble_weighted_grid,0.442059241742786,0.4603350676880088,0.623844465591433,0.1581108726805924,0.2028301886792453,0.8177897334098816,2013-02-05,2014-02-05,2015-02-04,20,40,20260613_185430,True
26,ensemble_weighted_grid,0.3752619069956531,0.3915810321869073,0.6456719392596064,0.1612744135476054,0.1320754716981132,0.865892231464386,2013-05-07,2014-05-07,2015-05-06,20,40,20260613_185430,True
27,ensemble_weighted_grid,0.3561546840958605,0.3876056288846987,0.6433329780317167,0.1592709690752163,0.2311320754716981,0.9371686577796936,2013-08-06,2014-08-06,2015-08-05,20,40,20260613_185430,True
28,ensemble_weighted_grid,0.508235740799095,0.5544592752926086,0.569923876078359,0.0822271256939346,0.2028301886792453,0.8112417459487915,2013-11-04,2014-11-04,2015-11-03,20,40,20260613_185430,True
29,ensemble_weighted_grid,0.3784905175854249,0.465819209039548,0.706199023406081,0.2411284091327112,0.1273584905660377,0.7849429249763489,2014-02-05,2015-02-05,2016-02-04,20,40,20260613_185430,True
30,ensemble_weighted_grid,0.4524953241484681,0.4411983465842912,0.6018684813336325,0.1051355528999382,0.3113207547169811,0.9542425274848938,2014-05-07,2015-05-07,2016-05-05,20,40,20260613_185430,True
31,ensemble_weighted_grid,0.3709325372796925,0.4134498461385745,0.591891971155462,0.0956607063611348,0.1792452830188679,0.9925522804260254,2014-08-06,2015-08-06,2016-08-04,20,40,20260613_185430,True
32,ensemble_weighted_grid,0.3601253681902307,0.396860710981895,0.5782839001498336,0.1619558723319864,0.1084905660377358,0.9306570887565612,2014-11-04,2015-11-04,2016-11-02,20,40,20260613_185430,True
33,ensemble_weighted_grid,0.2658872135616321,0.3442708333333333,0.5729784696688575,0.1359576868339324,0.0754716981132075,1.018380641937256,2015-02-05,2016-02-05,2017-02-03,20,40,20260613_185430,True
34,ensemble_weighted_grid,0.3133885133000569,0.3476016701744857,0.5847875526819638,0.121887809373963,0.1179245283018868,0.907940149307251,2015-05-07,2016-05-06,2017-05-05,20,40,20260613_185430,True
35,ensemble_weighted_grid,0.3019339865910263,0.4065573770491803,0.4843978566836832,0.0742854792187471,0.1179245283018868,0.7577222585678101,2015-08-06,2016-08-05,2017-08-04,20,40,20260613_185430,True
36,ensemble_weighted_grid,0.413968253968254,0.4731489741302409,0.5307952456930438,0.1345124643453409,0.0566037735849056,0.7458083629608154,2015-11-04,2016-11-03,2017-11-02,20,40,20260613_185430,True
37,ensemble_weighted_grid,0.2169816151994674,0.4809936350777935,0.6116254320522151,0.2062186139849989,0.0849056603773584,0.6668514013290405,2016-02-05,2017-02-06,2018-02-05,20,40,20260613_185430,True
38,ensemble_weighted_grid,0.4516781280630869,0.5432617491441021,0.6187335613518019,0.2063813307475596,0.0943396226415094,0.6759702563285828,2016-05-06,2017-05-08,2018-05-07,20,40,20260613_185430,True
39,ensemble_weighted_grid,0.4001790562005429,0.51766429172216,0.6364978669090124,0.227173538555002,0.0896226415094339,0.6894094347953796,2016-08-05,2017-08-07,2018-08-06,20,40,20260613_185430,True
40,ensemble_weighted_grid,0.4404951370468611,0.4987599206349206,0.54343254165998,0.1005622540281412,0.1509433962264151,0.8476390838623047,2016-11-03,2017-11-03,2018-11-02,20,40,20260613_185430,True
